name,typePackageName,typeQualifiedName,typeName,callerLabel,callerMethodQualifiedSignature,callerMethodSignature,callerBeginLine,callerBeginColumn,callerAnnotationExpr
TaskController.java,com.example.demo.controller,com.example.demo.controller.TaskController,TaskController,public TaskController(TaskService taskService),,,21,5,@Autowired
TaskController.java,com.example.demo.controller,com.example.demo.controller.TaskController,TaskController,"public String listTasks(Model model, @RequestParam(required = false) String filter)",,,27,5,@GetMapping
TaskController.java,com.example.demo.controller,com.example.demo.controller.TaskController,TaskController,"public String searchTasks(@RequestParam String keyword, Model model)",,,41,5,"@GetMapping(""/search"")"
TaskController.java,com.example.demo.controller,com.example.demo.controller.TaskController,TaskController,public String showCreateForm(Model model),,,49,5,"@GetMapping(""/new"")"
TaskController.java,com.example.demo.controller,com.example.demo.controller.TaskController,TaskController,"public String createTask(@Valid @ModelAttribute(""task"") Task task, BindingResult result, RedirectAttributes attributes)",,,56,5,@PostMapping
TaskController.java,com.example.demo.controller,com.example.demo.controller.TaskController,TaskController,"public String showEditForm(@PathVariable Long id, Model model)",,,70,5,"@GetMapping(""/{id}/edit"")"
TaskController.java,com.example.demo.controller,com.example.demo.controller.TaskController,TaskController,"public String updateTask(@PathVariable Long id, @Valid @ModelAttribute(""task"") Task task, BindingResult result, RedirectAttributes attributes)",,,81,5,"@PostMapping(""/{id}"")"
TaskController.java,com.example.demo.controller,com.example.demo.controller.TaskController,TaskController,"public String toggleTaskStatus(@PathVariable Long id, RedirectAttributes attributes)",,,97,5,"@GetMapping(""/{id}/toggle"")"
TaskController.java,com.example.demo.controller,com.example.demo.controller.TaskController,TaskController,"public String deleteTask(@PathVariable Long id, RedirectAttributes attributes)",,,108,5,"@GetMapping(""/{id}/delete"")"
IndexController.java,com.example.demo.controller,com.example.demo.controller.IndexController,IndexController,com.example.demo.controller.IndexController.index(),com.example.demo.controller.IndexController.index(),index(),12,5,"@GetMapping(""/"")"
