name,typePackageName,typeQualifiedName,typeName,callerLabel,callerMethodQualifiedSignature,callerMethodSignature,callerBeginLine,callerBeginColumn,callerAnnotationExpr
TaskController.java,com.example.demo.controller,com.example.demo.controller.TaskController,TaskController,public TaskController(TaskService taskService),,,21,5,@Autowired
TaskController.java,com.example.demo.controller,com.example.demo.controller.TaskController,TaskController,"com.example.demo.controller.TaskController.listTasks(org.springframework.ui.Model, java.lang.String)","com.example.demo.controller.TaskController.listTasks(org.springframework.ui.Model, java.lang.String)","listTasks(org.springframework.ui.Model, java.lang.String)",27,5,@GetMapping
TaskController.java,com.example.demo.controller,com.example.demo.controller.TaskController,TaskController,"com.example.demo.controller.TaskController.searchTasks(java.lang.String, org.springframework.ui.Model)","com.example.demo.controller.TaskController.searchTasks(java.lang.String, org.springframework.ui.Model)","searchTasks(java.lang.String, org.springframework.ui.Model)",41,5,"@GetMapping(""/search"")"
TaskController.java,com.example.demo.controller,com.example.demo.controller.TaskController,TaskController,com.example.demo.controller.TaskController.showCreateForm(org.springframework.ui.Model),com.example.demo.controller.TaskController.showCreateForm(org.springframework.ui.Model),showCreateForm(org.springframework.ui.Model),49,5,"@GetMapping(""/new"")"
TaskController.java,com.example.demo.controller,com.example.demo.controller.TaskController,TaskController,"public String createTask(@Valid @ModelAttribute(""task"") Task task, BindingResult result, RedirectAttributes attributes)",,,56,5,@PostMapping
TaskController.java,com.example.demo.controller,com.example.demo.controller.TaskController,TaskController,"com.example.demo.controller.TaskController.showEditForm(java.lang.Long, org.springframework.ui.Model)","com.example.demo.controller.TaskController.showEditForm(java.lang.Long, org.springframework.ui.Model)","showEditForm(java.lang.Long, org.springframework.ui.Model)",70,5,"@GetMapping(""/{id}/edit"")"
TaskController.java,com.example.demo.controller,com.example.demo.controller.TaskController,TaskController,"public String updateTask(@PathVariable Long id, @Valid @ModelAttribute(""task"") Task task, BindingResult result, RedirectAttributes attributes)",,,81,5,"@PostMapping(""/{id}"")"
TaskController.java,com.example.demo.controller,com.example.demo.controller.TaskController,TaskController,"com.example.demo.controller.TaskController.toggleTaskStatus(java.lang.Long, org.springframework.web.servlet.mvc.support.RedirectAttributes)","com.example.demo.controller.TaskController.toggleTaskStatus(java.lang.Long, org.springframework.web.servlet.mvc.support.RedirectAttributes)","toggleTaskStatus(java.lang.Long, org.springframework.web.servlet.mvc.support.RedirectAttributes)",97,5,"@GetMapping(""/{id}/toggle"")"
TaskController.java,com.example.demo.controller,com.example.demo.controller.TaskController,TaskController,"com.example.demo.controller.TaskController.deleteTask(java.lang.Long, org.springframework.web.servlet.mvc.support.RedirectAttributes)","com.example.demo.controller.TaskController.deleteTask(java.lang.Long, org.springframework.web.servlet.mvc.support.RedirectAttributes)","deleteTask(java.lang.Long, org.springframework.web.servlet.mvc.support.RedirectAttributes)",108,5,"@GetMapping(""/{id}/delete"")"
IndexController.java,com.example.demo.controller,com.example.demo.controller.IndexController,IndexController,com.example.demo.controller.IndexController.index(),com.example.demo.controller.IndexController.index(),index(),12,5,"@GetMapping(""/"")"
