GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
jamcha,jp.co.tdc.jamcha.model,MethodSignature,3,0,0,0,1,0,1,0,1,0
jamcha,jp.co.tdc.jamcha.model,MethodQualifiedSignature,9,0,0,0,2,0,2,0,2,0
jamcha,jp.co.tdc.jamcha.model,Position,0,17,0,0,0,1,0,1,0,1
jamcha,jp.co.tdc.jamcha.model,CallerAnnotationExpr,3,0,0,0,1,0,1,0,1,0
jamcha,jp.co.tdc.jamcha.model,TypeQualifiedName,3,6,0,0,1,1,1,1,1,1
jamcha,jp.co.tdc.jamcha.model,CallerLabel,3,0,0,0,1,0,1,0,1,0
jamcha,jp.co.tdc.jamcha.model,PackageName,3,0,0,0,1,0,1,0,1,0
jamcha,jp.co.tdc.jamcha.model,TypeAnnotationExpr,3,0,0,0,1,0,1,0,1,0
jamcha,jp.co.tdc.jamcha.model,TypeName,3,0,0,0,1,0,1,0,1,0
jamcha,jp.co.tdc.jamcha.model,SuperType,0,6,0,0,0,1,0,1,0,1
jamcha,jp.co.tdc.jamcha.reporter.table,Cell,0,3,0,0,0,1,0,1,0,1
jamcha,jp.co.tdc.jamcha.reporter.table,CSVTableWriter,12,31,0,0,4,9,0,4,0,4
jamcha,jp.co.tdc.jamcha.call.tree,Tree,14,0,0,0,4,0,2,0,2,0
jamcha,jp.co.tdc.jamcha.call.tree,Node,0,53,0,8,0,13,0,7,0,3
jamcha,jp.co.tdc.jamcha.analyzer,ResolveMetadataHelper,0,23,0,0,0,2,0,3,0,3
jamcha,jp.co.tdc.jamcha.analyzer,CallerMetadataResolver,154,235,1,9,25,36,5,18,4,14
jamcha,jp.co.tdc.jamcha.analyzer,SourceAnalyzeException,4,0,0,0,2,0,1,0,1,0
jamcha,jp.co.tdc.jamcha.analyzer,BodyDeclarationCollector,0,43,5,9,0,10,5,4,0,2
jamcha,jp.co.tdc.jamcha.analyzer,CalleeResolver,129,0,0,0,27,0,6,0,6,0
jamcha,jp.co.tdc.jamcha.analyzer,JavaParserFactory,128,0,4,0,23,0,12,0,10,0
jamcha,jp.co.tdc.jamcha.analyzer,NodeWalker,0,25,0,4,0,7,0,4,0,2
jamcha,jp.co.tdc.jamcha.analyzer,SourceAnalyzer,169,0,2,0,33,0,13,0,12,0
jamcha,jp.co.tdc.jamcha.analyzer,TypeDeclarationCollector,0,19,0,2,0,5,0,3,0,2
jamcha,jp.co.tdc.jamcha.analyzer,TypeMetadataResolver,63,145,1,1,14,32,3,12,2,12
jamcha,jp.co.tdc.jamcha.analyzer,MethodCallExprCollector,0,24,0,4,0,7,0,4,0,2
jamcha,jp.co.tdc.jamcha.cmd,CommandLineHelper,37,0,0,0,10,0,3,0,3,0
jamcha,jp.co.tdc.jamcha.cmd,Main,253,0,4,0,47,0,19,0,17,0
jamcha,jp.co.tdc.jamcha.cmd,ConfigurationFactory,115,0,2,0,32,0,4,0,3,0
jamcha,jp.co.tdc.jamcha.call,TypeQualifiedNameMethodSignatureCallerMap,77,0,8,0,14,0,7,0,3,0
jamcha,jp.co.tdc.jamcha.call,TreeBuilder,275,0,20,0,59,0,24,0,14,0
jamcha,jp.co.tdc.jamcha.call,MethodQualifiedSignatureCallerMap,57,0,6,0,12,0,6,0,3,0
jamcha,jp.co.tdc.jamcha.call,CallExpander,126,0,6,0,26,0,11,0,8,0
jamcha,jp.co.tdc.jamcha.call,SubclassMap,71,0,6,0,14,0,6,0,3,0
jamcha,jp.co.tdc.jamcha.reporter,AncestorSuperTypeReporter,0,142,0,0,0,18,0,8,0,8
jamcha,jp.co.tdc.jamcha.reporter,CallReporter,0,353,0,0,0,29,0,10,0,10
jamcha,jp.co.tdc.jamcha.reporter,TypeAnnotationReporter,0,141,0,0,0,18,0,8,0,8
jamcha,jp.co.tdc.jamcha.reporter,ExpandedCallReporter,0,89,0,0,0,15,0,4,0,4
jamcha,jp.co.tdc.jamcha.reporter,CallerAnnotationReporter,0,191,0,0,0,20,0,10,0,10
jamcha,jp.co.tdc.jamcha.reporter,SuperTypeReporter,0,142,0,0,0,18,0,8,0,8
